vehicle_id	coords
2004	[(30.41848, -97.66893), (30.41848, -97.66893), (30.41848, -97.66893), (30.41848, -97.66893), (30.41848, -97.66893), (30.41848, -97.66893), (30.41848, -97.66893), (30.41848, -97.66893), (30.41848, -97.66893), (30.418425, -97.66953), (30.417986, -97.66732), (30.423183, -97.66843), (30.426537, -97.676186), (30.423347, -97.68134), (30.413475, -97.69053), (30.412815, -97.69097), (30.411467, -97.69224), (30.40781, -97.69724), (30.403273, -97.70028), (30.395243, -97.70655), (30.39065, -97.709435), (30.387377, -97.71114), (30.37613, -97.71783), (30.371675, -97.715225), (30.367825, -97.70731), (30.363123, -97.6973), (30.36051, -97.6986), (30.35292, -97.70639), (30.350143, -97.71219), (30.349785, -97.711235), (30.348024, -97.71285), (30.338043, -97.7188), (30.33312, -97.72191), (30.326244, -97.72628), (30.325146, -97.726944), (30.32278, -97.72843), (30.316538, -97.73233), (30.311533, -97.732834), (30.309938, -97.73366), (30.30529, -97.73663), (30.300148, -97.7399), (30.296104, -97.74246), (30.290825, -97.74142), (30.28626, -97.74177), (30.28329, -97.74199), (30.278093, -97.742966), (30.273802, -97.74458), (30.269485, -97.7462), (30.267368, -97.746925), (30.258953, -97.748825), (30.25733, -97.747246), (30.25128, -97.749176), (30.247072, -97.750725), (30.238052, -97.75433), (30.238052, -97.75433), (30.236595, -97.75554), (30.230463, -97.75988), (30.223423, -97.76374), (30.223698, -97.766464), (30.222982, -97.76621), (30.218363, -97.76691), (30.207664, -97.77368), (30.203375, -97.77543), (30.194244, -97.778435), (30.192457, -97.77692), (30.191853, -97.76881), (30.18968, -97.76773), (30.18957, -97.76776), (30.418398, -97.66865), (30.41848, -97.66893), (30.41848, -97.66893), (30.41848, -97.66893), (30.41848, -97.66893), (30.41848, -97.66893), (30.41848, -97.66893), (30.41848, -97.66893), (30.41848, -97.66893), (30.41848, -97.66893), (30.417875, -97.66709), (30.42156, -97.665955), (30.424255, -97.67102), (30.426262, -97.67716), (30.419718, -97.6841), (30.413502, -97.6905), (30.411137, -97.693825), (30.406462, -97.69759), (30.400715, -97.703), (30.391806, -97.70874), (30.390623, -97.709496), (30.387955, -97.71089), (30.380804, -97.71596), (30.375168, -97.71957), (30.371675, -97.715195), (30.367605, -97.7069), (30.363728, -97.6986), (30.36315, -97.697334), (30.361748, -97.697876), (30.357897, -97.70006), (30.356413, -97.701546), (30.350197, -97.71026), (30.349812, -97.711235), (30.346018, -97.71393), (30.333862, -97.721405), (30.326162, -97.72625), (30.325035, -97.727005), (30.316868, -97.73217), (30.3098, -97.73372), (30.303144, -97.73797), (30.296793, -97.74196), (30.293024, -97.74173), (30.28813, -97.74158), (30.285105, -97.74183), (30.280266, -97.74211), (30.277983, -97.742966), (30.27372, -97.74455), (30.271355, -97.74544), (30.267643, -97.746765), (30.265085, -97.74766), (30.258017, -97.74794), (30.25348, -97.74829), (30.248144, -97.75028), (30.244736, -97.75155), (30.238987, -97.75342), (30.237997, -97.7543), (30.237997, -97.7543), (30.23709, -97.755066), (30.235632, -97.75633), (30.232607, -97.75845), (30.22444, -97.76311), (30.223064, -97.76688), (30.22367, -97.7664), (30.221195, -97.76504), (30.21839, -97.766846), (30.212065, -97.77087), (30.204227, -97.77514), (30.194437, -97.77821), (30.191137, -97.772575), (30.190313, -97.77036), (30.189543, -97.76776), (30.189543, -97.76776), (30.189543, -97.76776), (30.189543, -97.76776), (30.189543, -97.76776), (30.189543, -97.76776), (30.189543, -97.76776), (30.189377, -97.76783), (30.18979, -97.76916), (30.190422, -97.77026), (30.193365, -97.77872), (30.201176, -97.77587), (30.204832, -97.774796), (30.214788, -97.769), (30.22246, -97.767006), (30.223202, -97.76605), (30.221497, -97.764946), (30.22433, -97.763016), (30.230188, -97.75988), (30.236183, -97.75576), (30.24083, -97.752655), (30.24567, -97.75111), (30.251143, -97.74908), (30.256973, -97.746956), (30.259008, -97.7487), (30.266653, -97.74595), (30.270914, -97.74433), (30.273445, -97.74345), (30.280127, -97.741005), (30.283455, -97.74192), (30.294758, -97.74249), (30.300093, -97.73977), (30.303228, -97.73781), (30.31068, -97.733025), (30.312082, -97.73255), (30.316538, -97.73214), (30.3252, -97.72675), (30.326796, -97.72565), (30.330177, -97.72362), (30.338923, -97.71808), (30.34984, -97.71301), (30.349785, -97.711205), (30.3472, -97.71266), (30.355202, -97.703), (30.360262, -97.69857), (30.363562, -97.697845), (30.364498, -97.69987), (30.366478, -97.70402), (30.3692, -97.71038), (30.372444, -97.71649), (30.38042, -97.71605), (30.388506, -97.71054), (30.396645, -97.70525), (30.402887, -97.70057), (30.410532, -97.695625), (30.41496, -97.68866), (30.426153, -97.67704), (30.42409, -97.67077), (30.418453, -97.66881), (30.418507, -97.66893)]
2011	[(30.268248, -97.743225), (30.26822, -97.743286), (30.26877, -97.744965), (30.26954, -97.744865), (30.277267, -97.74202), (30.284225, -97.74186), (30.295198, -97.742744), (30.308233, -97.73467), (30.316675, -97.73208), (30.319672, -97.73011), (30.323797, -97.72755), (30.339252, -97.71786), (30.353003, -97.71412), (30.360346, -97.71656), (30.369558, -97.717125), (30.367825, -97.707184), (30.36194, -97.697716), (30.360537, -97.69857), (30.268137, -97.743256), (30.268055, -97.743286), (30.268934, -97.74509), (30.279276, -97.74129), (30.284143, -97.74189), (30.285765, -97.74167), (30.294977, -97.74265), (30.300203, -97.73971), (30.309635, -97.73372), (30.316675, -97.73208), (30.320194, -97.72992), (30.325338, -97.72666), (30.338207, -97.71852), (30.347694, -97.71206), (30.358612, -97.71599), (30.369833, -97.717), (30.367632, -97.70699), (30.3593, -97.699234), (30.268467, -97.74445), (30.269512, -97.7449), (30.272978, -97.7436), (30.278835, -97.74139), (30.300312, -97.73971), (30.311808, -97.73261), (30.319893, -97.73008), (30.322258, -97.72859), (30.33653, -97.7196), (30.34038, -97.71719), (30.347282, -97.71228), (30.354708, -97.71475), (30.362352, -97.71694), (30.371758, -97.715706), (30.368898, -97.71007), (30.365103, -97.70126), (30.360125, -97.69879), (30.351847, -97.707756), (30.33939, -97.71799), (30.331196, -97.723114), (30.317583, -97.73167), (30.31134, -97.732834), (30.303474, -97.73778), (30.295803, -97.74262), (30.290743, -97.74139), (30.28615, -97.74173), (30.282162, -97.74214), (30.280485, -97.74205), (30.2713, -97.74544), (30.351023, -97.70889), (30.350197, -97.71219), (30.350197, -97.71219), (30.350197, -97.71219), (30.350197, -97.71219), (30.349537, -97.711334), (30.34159, -97.71643), (30.333477, -97.72166), (30.317417, -97.73176), (30.31024, -97.733376), (30.30199, -97.73866), (30.295637, -97.742714), (30.290577, -97.74139), (30.282053, -97.74214), (30.282053, -97.74214), (30.27812, -97.743095), (30.271244, -97.74544), (30.361967, -97.69775), (30.360428, -97.6986), (30.357292, -97.70054), (30.348383, -97.7125), (30.336832, -97.719536), (30.32377, -97.7278), (30.317308, -97.73182), (30.311422, -97.732834), (30.30232, -97.73844), (30.281942, -97.74205), (30.271244, -97.74544), (30.269072, -97.74281), (30.353333, -97.705666), (30.34225, -97.71602), (30.331745, -97.72276), (30.32003, -97.73017), (30.316786, -97.7322), (30.30914, -97.73407), (30.29704, -97.74177), (30.288927, -97.74151), (30.282053, -97.74211), (30.279577, -97.74236), (30.270557, -97.74563), (30.268248, -97.74338), (30.26833, -97.74367), (30.268274, -97.74281), (30.268248, -97.743256), (30.268303, -97.74335), (30.268303, -97.74335), (30.26833, -97.74335), (30.26833, -97.74335), (30.268742, -97.744995), (30.269567, -97.744934), (30.277075, -97.74208), (30.285133, -97.7418), (30.287882, -97.74155), (30.293163, -97.74167), (30.300175, -97.73971), (30.306417, -97.73581), (30.313154, -97.73242), (30.320002, -97.73002), (30.325695, -97.72644), (30.338207, -97.71852), (30.348713, -97.71269), (30.371428, -97.71596), (30.367386, -97.70646)]
2051	[(30.163033, -97.79082), (30.163033, -97.79082), (30.163115, -97.79101), (30.163307, -97.79135), (30.163307, -97.79135), (30.16493, -97.79129), (30.168175, -97.794014), (30.174006, -97.80418), (30.173813, -97.82096), (30.175463, -97.8228), (30.177387, -97.821625), (30.190725, -97.81311), (30.202604, -97.80687), (30.205713, -97.80643), (30.21487, -97.798256), (30.220316, -97.7943), (30.228455, -97.7892), (30.22851, -97.78917), (30.22851, -97.78917), (30.230793, -97.78768), (30.232113, -97.78683), (30.240005, -97.7822), (30.244102, -97.78135), (30.246742, -97.77752), (30.24919, -97.76798), (30.25139, -97.76504), (30.254827, -97.76219), (30.261593, -97.75817), (30.263325, -97.7575), (30.26745, -97.75564), (30.264343, -97.74816), (30.26668, -97.74591), (30.270998, -97.74433), (30.27361, -97.74335), (30.275536, -97.74265), (30.277433, -97.74196), (30.280622, -97.740814), (30.282932, -97.74199), (30.286343, -97.74167), (30.29517, -97.742744), (30.29638, -97.74208), (30.303558, -97.73958), (30.305153, -97.742935), (30.309168, -97.74268), (30.315163, -97.74167), (30.321762, -97.739296), (30.333973, -97.73993), (30.339033, -97.739075), (30.353277, -97.73252), (30.35523, -97.731316), (30.357925, -97.73036), (30.364992, -97.72846), (30.395462, -97.73198), (30.39714, -97.7354), (30.40033, -97.74525), (30.400633, -97.748764), (30.394363, -97.74978), (30.39406, -97.74731), (30.393152, -97.74224), (30.394087, -97.73968), (30.39769, -97.736855), (30.395985, -97.733376), (30.390127, -97.72223), (30.389963, -97.7222), (30.37976, -97.72498), (30.371428, -97.72691), (30.361307, -97.72961), (30.352425, -97.733215), (30.341232, -97.738785), (30.330452, -97.7399), (30.318132, -97.73993), (30.309443, -97.74268), (30.305317, -97.74376), (30.304134, -97.740944), (30.296682, -97.74205), (30.290714, -97.74139), (30.286232, -97.74173), (30.277708, -97.743095), (30.27504, -97.74414), (30.273857, -97.74458), (30.27009, -97.74598), (30.266323, -97.74766), (30.266983, -97.756996), (30.261345, -97.75845), (30.25997, -97.75896), (30.25876, -97.75922), (30.253096, -97.76346), (30.247292, -97.77558), (30.24303, -97.78163), (30.24127, -97.78233), (30.23599, -97.784515), (30.228537, -97.78933), (30.218142, -97.79579), (30.209562, -97.804306), (30.20211, -97.80709), (30.198673, -97.808136), (30.181183, -97.81944), (30.173977, -97.823715), (30.17384, -97.8171), (30.170815, -97.79765), (30.162262, -97.78917), (30.16306, -97.79079), (30.393372, -97.74354), (30.393372, -97.74354), (30.393372, -97.74354), (30.393372, -97.74354), (30.393372, -97.74354), (30.393372, -97.74354), (30.393372, -97.74354), (30.393372, -97.74354), (30.393152, -97.74224), (30.396067, -97.7336), (30.391146, -97.72226), (30.390156, -97.72213), (30.380667, -97.72482), (30.36711, -97.72809), (30.358778, -97.73024), (30.354185, -97.73214), (30.354185, -97.73214), (30.352837, -97.73296), (30.34698, -97.73654), (30.33466, -97.73996), (30.333752, -97.74009), (30.332378, -97.74002), (30.326355, -97.73977), (30.316923, -97.74069), (30.310488, -97.74268), (30.305454, -97.74386), (30.304794, -97.74243), (30.304438, -97.74164), (30.301165, -97.739235), (30.293135, -97.74177), (30.29055, -97.74139), (30.283922, -97.74196), (30.278038, -97.743), (30.27504, -97.74414), (30.273802, -97.74458), (30.271025, -97.74563), (30.266624, -97.747246), (30.26646, -97.75582), (30.262032, -97.7582), (30.260025, -97.75893), (30.257797, -97.75991), (30.252352, -97.76415), (30.247953, -97.77178), (30.245174, -97.78008), (30.24149, -97.78233), (30.235165, -97.78496), (30.230572, -97.78803), (30.230463, -97.78806), (30.229307, -97.78886), (30.223698, -97.792336), (30.215998, -97.79715), (30.208023, -97.80526), (30.202028, -97.80709), (30.20068, -97.80725), (30.188002, -97.81501), (30.176783, -97.82223), (30.175655, -97.8228), (30.173868, -97.82375), (30.173758, -97.814026), (30.173813, -97.802185), (30.16713, -97.78904), (30.163033, -97.79082), (30.16306, -97.79079), (30.16306, -97.79079), (30.16306, -97.79079), (30.163033, -97.79079), (30.163336, -97.79139), (30.163336, -97.79139), (30.165728, -97.7912), (30.166992, -97.79104), (30.17241, -97.79937), (30.17395, -97.81492), (30.178213, -97.82096), (30.192156, -97.812195), (30.20266, -97.8069), (30.206923, -97.80592), (30.217703, -97.79604), (30.228125, -97.78945), (30.22851, -97.78917), (30.22851, -97.78917), (30.234257, -97.78553), (30.243387, -97.78147), (30.244213, -97.78132), (30.247128, -97.77644), (30.25469, -97.76228), (30.261593, -97.75817), (30.263023, -97.75754), (30.266542, -97.75551), (30.264866, -97.74664), (30.266708, -97.74591), (30.271162, -97.74423), (30.273363, -97.74348), (30.276304, -97.74236), (30.28032, -97.740845), (30.283648, -97.74192), (30.289616, -97.74139), (30.29374, -97.74196), (30.320827, -97.739265), (30.330452, -97.73996), (30.33455, -97.73983), (30.335457, -97.73958), (30.346182, -97.73692), (30.355148, -97.73141), (30.367, -97.72793), (30.372665, -97.72641), (30.383198, -97.72416), (30.390924, -97.72194), (30.392107, -97.72498), (30.395077, -97.731125), (30.400412, -97.74445), (30.400688, -97.74873), (30.394087, -97.74747), (30.393372, -97.74351), (30.16262, -97.79002), (30.163088, -97.79079), (30.16306, -97.79079), (30.163252, -97.79117), (30.164682, -97.79135), (30.166636, -97.7911), (30.172272, -97.79918), (30.17395, -97.81504), (30.17549, -97.82277), (30.176893, -97.821945), (30.184757, -97.81685), (30.195978, -97.809814), (30.20266, -97.80687), (30.207363, -97.80557), (30.21465, -97.7987), (30.218967, -97.79522), (30.228537, -97.78914), (30.228537, -97.78914), (30.23225, -97.78673), (30.237804, -97.78322), (30.243992, -97.78135), (30.245312, -97.77989), (30.248062, -97.77109), (30.25491, -97.76219), (30.260933, -97.75839), (30.261648, -97.75813), (30.262968, -97.75754), (30.265415, -97.756714), (30.266323, -97.754875), (30.26602, -97.74598), (30.267284, -97.74569), (30.270998, -97.7443), (30.273775, -97.743286), (30.277212, -97.74202), (30.280127, -97.740974), (30.281586, -97.741035), (30.284143, -97.7418), (30.287552, -97.74151), (30.294895, -97.74252), (30.296408, -97.74208), (30.30342, -97.739044), (30.305208, -97.742874), (30.30771, -97.742905), (30.315218, -97.74164), (30.322174, -97.73933), (30.333614, -97.73996), (30.335293, -97.73971), (30.345083, -97.73765), (30.355202, -97.73138), (30.362738, -97.729065), (30.37261, -97.72641), (30.387543, -97.722984), (30.391998, -97.72476), (30.395573, -97.73211), (30.400797, -97.74737), (30.399422, -97.74949), (30.394115, -97.74838), (30.3934, -97.74354), (30.3934, -97.74348), (30.3934, -97.74351), (30.3934, -97.74351), (30.3934, -97.74351), (30.393372, -97.74351), (30.393372, -97.74351), (30.391117, -97.72207), (30.389853, -97.72232), (30.384655, -97.72384), (30.373848, -97.72644), (30.36117, -97.72961), (30.35644, -97.73087), (30.354185, -97.73214), (30.352837, -97.73293), (30.35006, -97.73467), (30.343708, -97.73834), (30.334963, -97.7399), (30.33246, -97.74002), (30.330288, -97.74002), (30.325008, -97.73968), (30.315466, -97.74164), (30.310873, -97.74262), (30.305868, -97.74408), (30.304438, -97.74161), (30.300478, -97.73968), (30.292612, -97.74151), (30.288212, -97.74161), (30.286205, -97.74173), (30.282108, -97.74211), (30.278313, -97.74284), (30.272345, -97.745125), (30.267313, -97.74699), (30.26547, -97.748856), (30.266735, -97.756645), (30.2658, -97.756645), (30.258705, -97.75922), (30.25425, -97.762665), (30.248613, -97.76947), (30.24699, -97.77711), (30.24138, -97.782295), (30.240362, -97.782234), (30.233185, -97.786194), (30.229252, -97.78886), (30.226585, -97.7905), (30.219435, -97.7949), (30.214348, -97.79949), (30.208738, -97.80485), (30.203072, -97.80694), (30.200653, -97.80725), (30.194136, -97.81118), (30.175463, -97.82299), (30.173922, -97.823715), (30.17362, -97.82277), (30.173702, -97.81732), (30.173895, -97.80532), (30.16944, -97.796234), (30.166992, -97.78873), (30.393456, -97.74379), (30.393318, -97.74351), (30.393318, -97.74351), (30.393318, -97.74351), (30.393318, -97.74351), (30.393318, -97.74351), (30.393318, -97.74351), (30.393318, -97.74351), (30.393152, -97.74224), (30.395765, -97.73987), (30.396866, -97.735275), (30.392355, -97.72603), (30.390017, -97.72216), (30.379787, -97.72498), (30.37294, -97.72666), (30.359327, -97.73005), (30.356577, -97.73081), (30.35413, -97.73211), (30.35303, -97.732834), (30.335924, -97.73971), (30.333752, -97.74005), (30.332405, -97.74015), (30.327538, -97.73977), (30.322174, -97.73942), (30.313925, -97.74202), (30.308975, -97.74268), (30.305813, -97.74408), (30.304905, -97.74268), (30.304905, -97.74262), (30.299763, -97.74009), (30.294043, -97.74224), (30.288322, -97.74155), (30.286177, -97.7417), (30.285078, -97.74183), (30.27988, -97.74224), (30.278065, -97.743), (30.275013, -97.74411), (30.275013, -97.74411), (30.275013, -97.74411), (30.273886, -97.74452), (30.271465, -97.74544), (30.26822, -97.74664), (30.264866, -97.74978), (30.267752, -97.7563), (30.26525, -97.756836), (30.258375, -97.75931), (30.252903, -97.76358), (30.248474, -97.76992), (30.243828, -97.78147), (30.241682, -97.7822), (30.236155, -97.784386), (30.22928, -97.78886), (30.226557, -97.790535), (30.215998, -97.79715), (30.2108, -97.80351), (30.20321, -97.8069), (30.20068, -97.80725), (30.189735, -97.8139), (30.17681, -97.8222), (30.174803, -97.82334), (30.173784, -97.82099), (30.17395, -97.80418), (30.168093, -97.794395)]
