vehicle_id,latitude,longitude
2406,30.284912,-97.73157
2406,30.284912,-97.7316
2406,30.284912,-97.7316
2406,30.284912,-97.73157
2406,30.284857,-97.7316
2406,30.284885,-97.7316
2406,30.284912,-97.73157
2406,30.28494,-97.7316
2406,30.284004,-97.73103
2406,30.279083,-97.73214
2406,30.27614,-97.737076
2406,30.271273,-97.73543
2406,30.26569,-97.73756
2406,30.26525,-97.739265
2406,30.265387,-97.740875
2406,30.26602,-97.74265
2406,30.262445,-97.744995
2406,30.25755,-97.746735
2406,30.24952,-97.73828
2406,30.241957,-97.72856
2406,30.239262,-97.7265
2406,30.233597,-97.723495
2406,30.23049,-97.71485
2406,30.224907,-97.70367
2406,30.219738,-97.69284
2406,30.221277,-97.6746
2406,30.211185,-97.66225
2308,30.285023,-97.73157
2308,30.284994,-97.73157
2308,30.284994,-97.73157
2308,30.284994,-97.73157
2308,30.284994,-97.7316
2308,30.284994,-97.7316
2308,30.284994,-97.7316
2308,30.284994,-97.7316
2308,30.284912,-97.73087
2308,30.279028,-97.7323
2308,30.274187,-97.735115
2308,30.266487,-97.737236
2308,30.265196,-97.73965
2308,30.265497,-97.740944
2308,30.264425,-97.74427
2308,30.258568,-97.74645
2308,30.255377,-97.74522
2308,30.24798,-97.736
2308,30.241297,-97.72805
2308,30.239098,-97.72637
2308,30.235302,-97.7246
2308,30.229473,-97.71282
2308,30.223946,-97.7011
2308,30.222296,-97.6809
2308,30.211817,-97.66288
2308,30.202852,-97.666016
2308,30.202852,-97.665764
2417,30.285023,-97.73157
2417,30.285023,-97.73157
2417,30.285023,-97.73157
2417,30.285023,-97.73157
2417,30.285023,-97.73157
2417,30.28494,-97.73087
2417,30.28351,-97.731155
2417,30.279028,-97.7322
2417,30.27636,-97.737015
2417,30.2702,-97.73584
2417,30.264866,-97.73784
2417,30.26547,-97.740944
2417,30.265526,-97.74379
2417,30.25722,-97.746895
2417,30.24787,-97.7355
2417,30.240253,-97.727196
2417,30.240253,-97.727196
2417,30.235798,-97.724884
2417,30.227905,-97.70969
2417,30.22367,-97.7005
2417,30.218142,-97.69034
2417,30.216024,-97.66516
2417,30.209232,-97.66988
2417,30.20277,-97.665955
2417,30.20277,-97.66567
2406,30.284994,-97.73157
2406,30.284967,-97.73157
2406,30.284994,-97.7316
2406,30.284994,-97.73157
2406,30.285023,-97.73154
2406,30.284994,-97.73157
2406,30.284994,-97.73154
2406,30.285023,-97.73154
2406,30.28494,-97.73087
2406,30.282135,-97.73157
2406,30.279606,-97.73432
2406,30.274683,-97.73521
2406,30.267698,-97.73679
2406,30.264893,-97.738754
2406,30.2658,-97.74208
2406,30.261757,-97.745186
2406,30.258623,-97.74648
2406,30.25194,-97.74158
2406,30.24798,-97.73591
2406,30.240253,-97.72723
2406,30.2394,-97.72656
2406,30.234642,-97.72432
2406,30.23137,-97.717064
2406,30.224907,-97.703735
2406,30.218967,-97.69151
2406,30.22059,-97.67333
2406,30.210855,-97.66222
2308,30.285023,-97.73157
2308,30.285023,-97.73157
2308,30.285023,-97.73157
2308,30.285023,-97.73157
2308,30.285023,-97.73157
2308,30.285023,-97.73157
2308,30.285023,-97.73157
2308,30.28384,-97.731064
2308,30.279936,-97.73562
2308,30.273335,-97.73502
2308,30.26613,-97.7374
2308,30.26503,-97.739235
2308,30.265442,-97.740875
2308,30.265635,-97.74382
2308,30.258595,-97.74648
2308,30.25612,-97.74591
2308,30.248007,-97.73591
2308,30.240335,-97.727264
2308,30.239124,-97.72641
2308,30.23445,-97.72416
2308,30.23126,-97.71675
2308,30.225266,-97.7044
2308,30.21894,-97.691475
2308,30.22015,-97.67245
2308,30.210497,-97.6627
2308,30.20277,-97.667
2417,30.257963,-97.70842
2417,30.257082,-97.71073
2417,30.26118,-97.715416
2417,30.264948,-97.72894
2417,30.270145,-97.73261
2417,30.274408,-97.731064
2417,30.280678,-97.73372
2417,30.285105,-97.73195
2417,30.279028,-97.73226
2417,30.27636,-97.737045
2417,30.266954,-97.73711
2417,30.264837,-97.73787
2417,30.265497,-97.741035
2417,30.265882,-97.74227
2417,30.260136,-97.74579
2417,30.249712,-97.73872
2417,30.24776,-97.73483
2417,30.23918,-97.72641
2417,30.23236,-97.72064
2417,30.228207,-97.71026
2417,30.22356,-97.70025
2417,30.218555,-97.691
2417,30.218582,-97.66896
2417,30.211075,-97.662125
8924,30.27603,-97.77172
8924,30.27603,-97.77172
8924,30.276058,-97.77169
8924,30.277212,-97.77213
8924,30.277378,-97.77141
8924,30.274572,-97.764534
8924,30.270145,-97.75437
8924,30.268082,-97.7468
8924,30.266735,-97.74202
8924,30.267284,-97.736855
8924,30.266928,-97.735306
8924,30.266432,-97.73388
8924,30.263325,-97.72444
8924,30.260878,-97.713425
8924,30.260107,-97.70969
8924,30.259392,-97.70807
8924,30.255928,-97.701454
8924,30.241077,-97.68939
8924,30.238438,-97.69015
8924,30.234753,-97.69319
8924,30.224522,-97.70085
8924,30.224907,-97.70319
8924,30.224936,-97.703224
8924,30.229115,-97.70665
8924,30.236485,-97.70446
2308,30.284912,-97.73084
2308,30.284115,-97.730995
2308,30.279907,-97.73566
2308,30.273445,-97.73502
2308,30.26602,-97.73743
2308,30.265003,-97.739105
2308,30.26547,-97.740875
2308,30.265442,-97.74382
2308,30.259062,-97.74626
2308,30.252407,-97.74233
2308,30.247787,-97.735054
2308,30.239208,-97.72647
2308,30.232113,-97.71989
2308,30.228483,-97.71073
2308,30.21905,-97.691635
2308,30.220287,-97.67276
2308,30.21124,-97.662315
2056,30.27592,-97.77137
2056,30.276058,-97.77169
2056,30.276058,-97.77169
2056,30.276058,-97.77172
2056,30.276058,-97.77172
2056,30.276058,-97.77172
2056,30.276085,-97.77172
2056,30.277212,-97.77216
2056,30.27724,-97.770706
2056,30.271713,-97.75839
